,clust,Total Revenue,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges
1236,0,88.36999999999999,Q3,No,0.0,1,None,Yes,14.02,Yes,Fiber Optic,2.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,74.35,14.02
1237,0,158.98000000000002,Q3,Yes,1.0,2,None,Yes,9.79,No,Fiber Optic,41.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,139.4,19.58
1238,3,903.6,Q3,No,0.0,22,Offer D,No,0.0,No,DSL,16.0,No,Yes,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,43.75,903.6,0.0
1239,4,1431.29,Q3,No,0.0,12,Offer D,Yes,16.07,Yes,Fiber Optic,14.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.7,1238.45,192.84
1240,4,205.07999999999998,Q3,Yes,4.0,2,None,Yes,18.79,No,Fiber Optic,19.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.2,167.5,37.58
1241,0,719.5699999999999,Q3,Yes,1.0,6,None,Yes,36.12,Yes,Fiber Optic,23.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.5,502.85,216.71999999999997
1242,4,5555.15,Q3,No,0.0,40,None,Yes,35.58,Yes,Fiber Optic,8.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,104.8,4131.95,1423.1999999999998
1243,0,2393.63,Q3,No,0.0,23,Offer D,Yes,27.61,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.6,1758.6,635.03
1244,4,4285.0599999999995,Q3,Yes,2.0,34,Offer C,Yes,23.09,Yes,Fiber Optic,52.0,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.05,3480.0,785.06
1245,0,115.52,Q3,No,0.0,1,Offer E,Yes,30.52,Yes,Fiber Optic,30.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,85.0,30.52
1246,0,893.3000000000001,Q3,No,0.0,10,Offer D,Yes,5.92,Yes,Fiber Optic,11.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.05,834.1,59.2
1247,3,597.0,Q3,No,0.0,13,Offer D,No,0.0,No,DSL,17.0,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,45.55,597.0,0.0
1248,0,4835.75,Q3,Yes,5.0,39,Offer C,Yes,40.25,No,Fiber Optic,19.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,86.3,3266.0,1569.75
1249,0,2643.83,Q3,No,0.0,32,Offer C,Yes,1.49,Yes,Fiber Optic,21.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.35,2596.15,47.68
1250,4,3894.75,Q3,No,0.0,35,Offer C,Yes,10.49,Yes,Fiber Optic,17.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.25,3527.6,367.15000000000003
1251,4,7178.849999999999,Q3,Yes,2.0,56,None,Yes,26.15,Yes,Fiber Optic,7.0,No,Yes,No,No,Yes,Yes,Yes,No,One Year,No,Credit Card,100.3,5614.45,1464.3999999999999
1252,2,467.31,Q3,Yes,1.0,12,Offer D,Yes,19.48,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.0,233.55,233.76
1253,0,79.42999999999999,Q3,No,0.0,1,None,Yes,4.13,No,Fiber Optic,51.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,75.3,75.3,4.13
1254,3,1148.63,Q3,No,0.0,12,Offer D,Yes,36.24,Yes,DSL,30.0,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,61.65,713.75,434.88
1255,3,258.95,Q3,Yes,1.0,9,Offer E,No,0.0,No,DSL,9.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,29.95,248.95,0.0
1256,3,720.1999999999999,Q3,Yes,1.0,9,Offer E,Yes,6.35,No,Cable,63.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,65.0,663.05,57.15
1257,2,249.88,Q3,No,0.0,7,Offer E,Yes,16.04,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.0,137.6,112.28
1258,4,9204.75,Q3,Yes,7.0,65,None,Yes,34.14,Yes,Fiber Optic,26.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.5,6985.65,2219.1
1259,0,975.5,Q3,Yes,1.0,10,Offer D,Yes,2.02,Yes,Fiber Optic,63.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,20.2
1260,3,4101.05,Q3,Yes,3.0,43,None,Yes,37.25,No,DSL,20.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,56.15,2499.3,1601.75
1261,0,132.01,Q3,No,0.0,1,Offer E,Yes,42.46,No,Cable,27.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.55,89.55,42.46
1262,3,51.25,Q3,No,0.0,1,Offer E,Yes,5.55,No,DSL,13.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,45.7,45.7,5.55
1263,0,301.08000000000004,Q3,No,0.0,3,None,Yes,26.26,No,Fiber Optic,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55,222.3,78.78
1264,0,106.75999999999999,Q3,No,0.0,1,Offer E,Yes,22.16,No,Fiber Optic,47.0,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,74.6,74.6,22.16
1265,2,66.18,Q3,Yes,2.0,2,Offer E,Yes,15.14,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,19.85,35.9,30.28
1266,3,96.05,Q3,No,0.0,4,Offer E,No,0.0,No,Cable,16.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,24.25,96.05,0.0
1267,0,160.43,Q3,No,0.0,2,Offer E,Yes,7.64,No,Fiber Optic,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.65,145.15,15.28
1268,3,372.65,Q3,No,0.0,4,None,Yes,45.4,No,DSL,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,45.65,191.05,181.6
1269,0,107.91,Q3,No,0.0,1,Offer E,Yes,32.86,Yes,Fiber Optic,58.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,75.05,75.05,32.86
1270,3,62.25,Q3,No,0.0,2,Offer E,No,0.0,No,DSL,63.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,62.25,0.0
1271,0,115.71000000000001,Q3,Yes,1.0,1,Offer E,Yes,35.71,No,Cable,3.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,80.0,80.0,35.71
1272,0,350.26,Q3,No,0.0,3,Offer E,Yes,26.52,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.1,270.7,79.56
1273,3,208.77,Q3,Yes,1.0,3,None,Yes,13.54,No,Cable,51.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.15,168.15,40.62
1274,0,2685.6,Q3,No,0.0,25,Offer C,Yes,26.81,No,Fiber Optic,12.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.85,2015.35,670.25
1275,2,57.989999999999995,Q3,No,0.0,1,None,Yes,38.44,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.55,19.55,38.44
1276,0,397.86,Q3,Yes,1.0,4,None,Yes,4.14,Yes,Fiber Optic,30.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.95,381.3,16.56
1277,3,250.94,Q3,No,0.0,3,None,Yes,36.48,No,DSL,59.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.35,141.5,109.44
1278,0,4143.3,Q3,No,0.0,45,None,Yes,4.48,Yes,Cable,51.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87.25,3941.7,201.60000000000002
1279,4,1284.25,Q3,No,0.0,10,Offer D,Yes,27.57,Yes,Fiber Optic,13.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,98.55,1008.55,275.7
1280,0,1639.0,Q3,No,0.0,15,None,Yes,24.63,No,Fiber Optic,13.0,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.9,1269.55,369.45
1281,0,2304.0699999999997,Q3,No,0.0,22,None,Yes,18.01,No,Fiber Optic,2.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.25,1907.85,396.22
1282,0,288.98,Q3,Yes,1.0,3,None,Yes,26.71,No,Fiber Optic,11.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.3,208.85,80.13
1283,4,2178.6000000000004,Q3,No,0.0,15,None,Yes,48.93,Yes,Fiber Optic,15.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.35,1444.65,733.95
1284,2,69.41,Q3,No,0.0,1,None,Yes,49.51,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.9,19.9,49.51
1285,3,662.0,Q3,Yes,1.0,5,None,Yes,41.57,No,Cable,27.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,88.9,454.15,207.85
1286,4,4476.15,Q3,Yes,1.0,33,Offer C,Yes,41.8,No,Fiber Optic,41.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,95.8,3036.75,1379.3999999999999
1287,0,267.01,Q3,No,0.0,2,None,Yes,41.18,Yes,Fiber Optic,14.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.0,184.65,82.36
1288,3,140.48,Q3,No,0.0,2,None,Yes,25.49,No,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,89.5,50.98
1289,3,86.24000000000001,Q3,No,0.0,1,None,Yes,34.04,No,DSL,23.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,52.2,52.2,34.04
1290,4,7529.08,Q3,No,0.0,62,Offer B,Yes,22.64,Yes,Fiber Optic,9.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,96.75,6125.4,1403.68
1291,4,1313.55,Q3,No,0.0,10,None,Yes,14.53,Yes,Fiber Optic,30.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.5,1058.25,145.29999999999998
1292,0,561.27,Q3,No,0.0,6,None,Yes,11.97,No,Fiber Optic,27.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,489.45,71.82000000000001
1293,4,5015.5,Q3,Yes,1.0,40,Offer B,Yes,22.56,Yes,Cable,4.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.3,4113.1,902.4
1294,0,118.97999999999999,Q3,No,0.0,1,Offer E,Yes,49.43,No,Fiber Optic,48.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55,69.55,49.43
1295,4,8598.65,Q3,No,0.0,58,Offer B,Yes,44.5,Yes,Fiber Optic,47.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.25,6017.65,2581.0
1296,1,8103.45,Q3,No,0.0,70,Offer A,Yes,12.19,Yes,Fiber Optic,42.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,104.0,7250.15,853.3
1297,0,226.79999999999998,Q3,No,0.0,2,Offer E,Yes,24.05,No,Fiber Optic,27.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,86.2,178.7,48.1
1298,4,3198.56,Q3,Yes,1.0,21,None,Yes,36.26,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,761.4599999999999
1299,0,1937.93,Q3,Yes,1.0,16,None,Yes,31.73,No,Fiber Optic,25.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,89.45,1430.25,507.68
1300,4,7448.4,Q3,Yes,1.0,60,Offer B,Yes,33.25,No,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,Yes,Yes,One Year,No,Bank Withdrawal,90.95,5453.4,1995.0
1301,4,7082.2,Q3,Yes,1.0,50,Offer B,Yes,29.43,Yes,Fiber Optic,14.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,108.55,5610.7,1471.5
1302,3,76.84,Q3,No,0.0,1,Offer E,Yes,32.44,No,DSL,12.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,44.4,44.4,32.44
1303,2,681.4,Q3,Yes,1.0,12,None,Yes,37.65,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,19.8,229.6,451.79999999999995
1304,0,122.75,Q3,No,0.0,1,Offer E,Yes,32.85,No,Fiber Optic,53.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.9,89.9,32.85
1305,4,8433.609999999999,Q3,No,0.0,62,Offer B,Yes,32.58,Yes,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.15,6413.65,2019.9599999999998
1306,3,52.08,Q3,No,0.0,1,Offer E,Yes,1.28,No,DSL,27.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.8,50.8,1.28
1307,0,450.26,Q3,No,0.0,3,Offer E,Yes,47.62,No,Cable,29.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.1,307.4,142.85999999999999
1308,4,3162.71,Q3,No,0.0,22,None,Yes,46.28,Yes,Fiber Optic,16.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,94.65,2104.55,1018.1600000000001
1309,0,376.34999999999997,Q3,Yes,1.0,4,Offer E,Yes,14.3,No,Fiber Optic,2.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.6,319.15,57.2
1310,4,5492.339999999999,Q3,No,0.0,59,Offer B,Yes,6.91,Yes,Fiber Optic,52.0,No,No,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,85.55,5084.65,407.69
1311,4,3027.4,Q3,No,0.0,60,Offer B,No,0.0,No,Cable,5.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.8,3027.4,0.0
1312,4,1918.6,Q3,No,0.0,15,None,Yes,22.39,No,Fiber Optic,7.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1582.75,335.85
1313,4,1223.6,Q3,No,0.0,10,None,Yes,18.03,No,Fiber Optic,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,110.1,1043.3,180.3
1314,0,653.13,Q3,No,0.0,6,None,Yes,25.93,No,Fiber Optic,24.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,83.9,497.55,155.57999999999998
1315,4,6781.09,Q3,Yes,3.0,63,Offer B,Yes,8.98,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,100.55,6215.35,565.74
1316,4,7128.4,Q3,Yes,6.0,50,Offer B,Yes,42.21,Yes,Fiber Optic,14.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.85,5017.9,2110.5
1317,3,24.6,Q3,No,0.0,1,None,No,0.0,No,DSL,12.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,24.6,24.6,0.0
1318,4,1539.99,Q3,No,0.0,12,None,Yes,34.92,No,Cable,23.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,1120.95,419.04
1319,4,1272.34,Q3,No,0.0,9,None,Yes,38.76,Yes,Fiber Optic,63.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,98.3,923.5,348.84
1320,0,1702.3200000000002,Q3,No,0.0,17,None,Yes,4.51,No,Fiber Optic,13.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,93.85,1625.65,76.67
1321,0,1002.2199999999999,Q3,No,0.0,13,None,Yes,3.84,No,Fiber Optic,4.0,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.15,952.3,49.92
1322,0,552.94,Q3,No,0.0,6,None,Yes,19.74,Yes,Fiber Optic,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.05,434.5,118.44
1323,0,287.26,Q3,No,0.0,3,None,Yes,23.82,Yes,Fiber Optic,24.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,74.4,215.8,71.46000000000001
1324,3,76.78,Q3,Yes,1.0,1,None,Yes,32.08,No,DSL,63.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,44.7,44.7,32.08
1325,3,56.11,Q3,No,0.0,1,None,Yes,10.41,No,DSL,17.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,45.7,45.7,10.41
1326,2,176.28,Q3,No,0.0,7,None,Yes,9.14,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.25,112.3,63.980000000000004
1327,0,271.48,Q3,No,0.0,2,None,Yes,48.34,Yes,Fiber Optic,28.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.0,174.8,96.68
1328,0,165.99,Q3,No,0.0,1,Offer E,Yes,15.44,No,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,90.55,90.55,15.44
1329,1,11040.97,Q3,No,0.0,71,Offer A,Yes,49.42,Yes,Fiber Optic,53.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.05,7532.15,2871.9325
1330,0,115.56,Q3,No,0.0,1,Offer E,Yes,45.66,No,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.9,69.9,45.66
1331,0,92.03,Q3,No,0.0,1,Offer E,Yes,5.43,Yes,Fiber Optic,18.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,86.6,5.43
1332,0,4603.51,Q3,No,0.0,35,Offer C,Yes,45.14,Yes,Fiber Optic,41.0,No,Yes,No,Yes,No,No,Yes,No,Month-to-Month,No,Credit Card,85.3,2917.5,1579.9
1333,0,2563.54,Q3,No,0.0,34,Offer C,Yes,4.66,No,Fiber Optic,21.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.0,2416.1,158.44
1334,0,965.13,Q3,No,0.0,7,Offer E,Yes,48.36,No,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,660.9,338.52
1335,0,2180.27,Q3,No,0.0,18,None,Yes,34.21,Yes,Fiber Optic,19.0,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.1,1612.75,615.78
1336,0,181.21,Q3,No,0.0,2,None,Yes,30.73,No,Fiber Optic,39.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,68.95,119.75,61.46
1337,4,4353.07,Q3,Yes,1.0,32,Offer C,Yes,33.57,Yes,Fiber Optic,26.0,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,99.55,3204.65,1074.24
1338,3,1026.6,Q3,Yes,1.0,18,None,Yes,2.86,No,DSL,22.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,57.45,990.85,51.48
1339,3,1030.19,Q3,Yes,1.0,12,None,Yes,27.82,No,DSL,26.0,No,No,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,53.65,696.35,333.84000000000003
1340,0,3004.0,Q3,Yes,1.0,26,Offer C,Yes,35.9,Yes,Cable,26.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,2070.6,933.4
1341,0,4396.87,Q3,Yes,1.0,38,None,Yes,35.61,No,Fiber Optic,13.0,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.45,3013.05,1353.18
1342,0,2519.91,Q3,Yes,1.0,32,None,Yes,5.99,No,Fiber Optic,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.75,2347.9,191.68
1343,2,25.729999999999997,Q3,No,0.0,1,Offer E,Yes,6.08,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.65,19.65,6.08
1344,3,171.48,Q3,No,0.0,5,Offer E,No,0.0,No,DSL,2.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,39.5,210.75,0.0
1345,4,4318.3,Q3,Yes,1.0,40,Offer B,Yes,16.33,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.1,3706.95,653.1999999999999
1346,0,602.45,Q3,No,0.0,5,Offer E,Yes,43.99,No,Fiber Optic,42.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.0,412.5,219.95000000000002
1347,0,1276.1399999999999,Q3,No,0.0,10,None,Yes,45.69,No,Fiber Optic,18.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,84.7,832.05,456.9
1348,0,203.27,Q3,Yes,1.0,2,Offer E,Yes,8.86,No,Fiber Optic,23.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.55,185.55,17.72
1349,0,2828.34,Q3,No,0.0,23,None,Yes,38.69,Yes,Cable,63.0,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.6,1943.2,889.8699999999999
1350,0,2224.07,Q3,No,0.0,23,None,Yes,3.55,Yes,Fiber Optic,4.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.05,2169.8,81.64999999999999
1351,4,5843.030000000001,Q3,Yes,1.0,49,Offer B,Yes,20.48,Yes,Fiber Optic,22.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.05,4853.75,1003.52
1352,0,197.43,Q3,No,0.0,2,None,Yes,26.44,No,Fiber Optic,24.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.75,144.55,52.88
1353,3,160.5,Q3,No,0.0,2,Offer E,Yes,14.7,No,DSL,13.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,49.05,91.1,29.4
1354,4,777.75,Q3,No,0.0,7,Offer E,Yes,9.25,Yes,Fiber Optic,29.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.05,713.0,64.75
1355,4,5411.41,Q3,No,0.0,41,Offer B,Yes,21.56,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,114.5,4527.45,883.9599999999999
1356,0,205.81,Q3,No,0.0,2,Offer E,Yes,17.33,No,Fiber Optic,14.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.95,171.15,34.66
1357,4,3200.35,Q3,Yes,1.0,25,None,Yes,35.27,No,Fiber Optic,4.0,No,No,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,90.4,2178.6,881.7500000000001
1358,3,256.02,Q3,Yes,1.0,3,Offer E,Yes,29.29,No,Cable,52.0,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,56.15,168.15,87.87
1359,0,545.92,Q3,No,0.0,4,Offer E,Yes,39.68,No,Fiber Optic,18.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.4,387.2,158.72
1360,0,4226.780000000001,Q3,No,0.0,37,None,Yes,37.49,Yes,Fiber Optic,29.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,78.95,2839.65,1387.13
1361,3,893.55,Q3,No,0.0,19,None,No,0.0,No,DSL,48.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,44.85,893.55,0.0
1362,0,705.6099999999999,Q3,No,0.0,7,Offer E,Yes,21.58,No,Fiber Optic,63.0,No,No,Yes,No,No,No,Yes,No,Month-to-Month,No,Mailed Check,74.65,544.55,151.06
1363,3,1226.6,Q3,Yes,1.0,14,Offer D,Yes,20.4,Yes,DSL,30.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,64.7,941.0,285.59999999999997
1364,3,35.55,Q3,No,0.0,1,None,No,0.0,No,DSL,26.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,35.55,35.55,0.0
1365,0,273.92,Q3,No,0.0,2,Offer E,Yes,38.51,Yes,Fiber Optic,25.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.15,196.9,77.02
1366,4,1755.65,Q3,Yes,4.0,13,Offer D,Yes,45.6,No,Fiber Optic,11.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,96.65,1162.85,592.8000000000001
1367,3,111.35,Q3,No,0.0,1,Offer E,No,0.0,No,DSL,6.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,31.35,31.35,0.0
1368,0,1224.96,Q3,No,0.0,12,Offer D,Yes,14.38,Yes,Fiber Optic,6.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,172.56
